Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf
0,0.0,1206.39,1108.91,0.99,1226.6,1091.71,1.0,1190.11,1091.47,0.99,1254.11,1097.0,0.96,1169.45,1097.94,0.83,1287.47,1189.01,1.0,1148.05,1194.41,1.0,1315.15,1330.93,1.0,1137.5,1334.95,1.0,1284.12,1445.98,1.0,1154.56,1445.39,1.0,1279.54,1392.28,1.0,1182.8,1393.47,1.0,1400.44,1458.46,0.99,1043.94,1451.88,0.99,1191.37,1492.62,0.97,1287.46,1496.27,0.98
1,0.033,1206.44,1109.6,0.99,1226.53,1092.49,1.0,1190.55,1092.37,0.99,1254.69,1097.0,0.96,1170.19,1098.13,0.81,1288.66,1190.61,1.0,1147.52,1194.98,1.0,1315.71,1332.86,1.0,1136.82,1336.4,1.0,1285.1,1445.78,1.0,1155.91,1446.55,1.0,1278.66,1396.84,1.0,1181.2,1397.43,1.0,1398.23,1458.99,0.99,1042.96,1449.14,0.99,1187.85,1493.85,0.97,1289.98,1499.17,0.98
2,0.067,1206.4,1108.79,0.99,1226.27,1091.91,1.0,1190.62,1091.84,0.99,1254.03,1096.93,0.96,1170.43,1098.16,0.81,1288.23,1190.05,1.0,1147.37,1194.57,1.0,1315.37,1331.3,1.0,1135.88,1334.99,1.0,1284.18,1446.69,1.0,1156.28,1446.58,1.0,1278.52,1397.4,1.0,1181.06,1398.14,1.0,1399.09,1460.54,0.99,1044.17,1451.15,0.99,1189.16,1492.29,0.97,1285.87,1497.4,0.97
3,0.1,1206.54,1108.62,0.99,1226.55,1091.52,1.0,1190.59,1091.45,0.99,1254.62,1096.59,0.96,1170.53,1097.87,0.81,1288.48,1190.41,1.0,1147.89,1195.11,1.0,1315.38,1333.2,1.0,1137.62,1337.55,1.0,1283.82,1444.97,1.0,1155.95,1446.19,1.0,1278.8,1396.51,1.0,1181.57,1397.17,1.0,1398.39,1460.75,0.99,1043.18,1450.35,0.99,1186.22,1491.75,0.97,1287.9,1497.44,0.98
4,0.133,1206.67,1108.24,0.99,1226.43,1091.15,1.0,1190.74,1091.26,0.99,1254.36,1095.98,0.96,1170.89,1097.7,0.81,1288.57,1189.62,1.0,1148.43,1194.35,1.0,1316.48,1331.28,1.0,1136.45,1336.36,1.0,1284.29,1445.18,1.0,1156.8,1446.69,1.0,1277.26,1396.29,1.0,1180.35,1396.81,1.0,1396.7,1461.91,0.99,1043.51,1450.72,0.99,1185.66,1490.98,0.97,1284.84,1497.5,0.97
5,0.167,1206.82,1108.78,0.99,1226.81,1091.92,1.0,1191.18,1091.67,0.99,1254.96,1096.97,0.96,1171.26,1097.78,0.81,1289.17,1190.72,1.0,1147.88,1194.81,1.0,1315.39,1333.25,1.0,1137.1,1336.7,1.0,1284.43,1446.29,1.0,1156.46,1446.23,1.0,1278.62,1397.68,1.0,1181.02,1398.2,1.0,1399.6,1460.32,0.99,1043.56,1450.6,0.99,1186.7,1492.68,0.97,1289.61,1497.99,0.98
6,0.2,1206.8,1108.25,0.99,1226.71,1091.36,1.0,1191.04,1091.28,0.99,1254.92,1096.76,0.96,1171.25,1097.97,0.8,1288.84,1190.06,1.0,1148.23,1194.88,1.0,1315.13,1331.69,1.0,1136.41,1335.97,1.0,1284.54,1446.92,1.0,1156.17,1446.06,1.0,1279.05,1395.98,1.0,1181.73,1396.85,1.0,1399.06,1459.96,0.99,1043.9,1450.83,0.99,1187.72,1491.92,0.97,1287.38,1496.92,0.98
7,0.233,1207.3,1107.8,0.99,1227.3,1091.04,1.0,1191.48,1090.8,0.99,1255.28,1096.41,0.96,1171.25,1097.26,0.82,1289.66,1190.99,1.0,1147.77,1195.14,1.0,1314.65,1333.03,1.0,1136.9,1336.8,1.0,1283.55,1447.63,1.0,1156.0,1446.52,1.0,1279.36,1397.41,1.0,1181.33,1397.85,1.0,1399.0,1460.65,0.99,1043.04,1450.36,0.99,1185.63,1492.32,0.97,1288.11,1497.49,0.98
8,0.267,1207.71,1107.99,0.99,1227.83,1091.19,1.0,1191.94,1090.77,0.99,1255.7,1096.45,0.96,1171.62,1096.89,0.82,1289.18,1190.76,1.0,1148.05,1194.64,1.0,1315.58,1333.09,1.0,1136.97,1336.73,1.0,1282.77,1447.99,1.0,1156.92,1447.09,1.0,1279.38,1396.44,1.0,1181.83,1396.84,1.0,1399.96,1460.77,0.99,1043.27,1450.3,0.99,1185.96,1492.11,0.97,1288.99,1498.3,0.98
9,0.3,1207.76,1108.27,0.99,1227.93,1091.45,1.0,1192.03,1090.97,0.99,1255.84,1096.65,0.96,1171.78,1096.9,0.82,1289.25,1190.8,1.0,1148.33,1194.53,1.0,1315.35,1333.31,1.0,1136.27,1336.18,1.0,1283.13,1448.76,0.99,1155.84,1446.25,1.0,1278.5,1397.02,1.0,1181.0,1397.38,1.0,1398.76,1460.16,0.99,1043.62,1450.69,0.99,1187.56,1491.02,0.97,1283.67,1497.04,0.97
10,0.333,1207.95,1107.9,0.99,1228.07,1091.17,1.0,1192.17,1090.65,0.99,1255.38,1096.76,0.96,1171.58,1096.91,0.83,1287.96,1190.19,1.0,1148.09,1194.16,1.0,1315.18,1332.17,1.0,1136.62,1335.92,1.0,1283.02,1446.66,1.0,1156.64,1446.93,1.0,1278.38,1396.61,1.0,1181.65,1397.19,1.0,1397.44,1459.55,0.99,1043.37,1450.89,0.99,1186.78,1492.25,0.97,1287.7,1497.37,0.97
11,0.367,1207.7,1108.02,0.99,1227.87,1091.23,1.0,1192.07,1090.64,0.99,1255.58,1096.81,0.96,1171.81,1096.75,0.82,1289.48,1191.09,1.0,1147.45,1194.4,1.0,1315.56,1333.39,1.0,1136.37,1336.26,1.0,1283.27,1446.04,1.0,1156.66,1446.0,1.0,1278.2,1396.98,1.0,1180.18,1397.2,1.0,1395.18,1460.7,0.99,1044.65,1451.35,0.99,1188.28,1491.93,0.97,1284.58,1497.09,0.97
12,0.4,1207.61,1108.15,0.99,1227.96,1091.28,1.0,1191.76,1090.7,0.99,1256.07,1096.97,0.96,1171.39,1096.96,0.82,1288.97,1190.89,1.0,1147.69,1194.48,1.0,1315.5,1332.75,1.0,1137.11,1336.63,1.0,1284.03,1446.64,1.0,1155.58,1446.62,1.0,1278.25,1396.24,1.0,1180.68,1396.53,1.0,1399.45,1460.59,0.99,1044.71,1450.15,0.99,1187.37,1492.84,0.97,1288.22,1498.57,0.98
13,0.433,1207.63,1108.06,0.99,1227.72,1091.23,1.0,1191.6,1090.83,0.99,1255.22,1097.26,0.96,1171.17,1097.75,0.83,1288.91,1190.97,1.0,1147.74,1195.16,1.0,1315.17,1333.68,1.0,1137.02,1337.72,1.0,1282.91,1448.56,1.0,1156.53,1446.62,1.0,1278.58,1396.3,1.0,1181.05,1396.83,1.0,1398.95,1460.63,0.99,1044.44,1450.85,0.99,1185.85,1490.18,0.97,1286.44,1495.98,0.98
