Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf
0,0.0,1393.98,1131.11,0.99,1413.08,1112.53,0.99,1373.23,1112.71,1.0,1434.64,1116.93,0.89,1346.18,1118.72,0.96,1467.22,1212.89,1.0,1312.43,1215.79,1.0,1499.82,1344.76,1.0,1273.78,1344.29,1.0,1543.95,1437.53,1.0,1242.66,1446.13,0.99,1431.99,1406.37,1.0,1327.85,1406.88,1.0,1560.72,1491.83,0.99,1231.36,1496.52,0.99,1365.96,1482.74,0.92,1364.88,1479.37,0.91
1,0.033,1393.51,1129.82,0.99,1412.0,1110.38,0.99,1373.03,1110.73,0.99,1433.52,1115.72,0.88,1346.96,1118.11,0.94,1466.14,1210.57,1.0,1313.91,1214.05,1.0,1501.1,1344.98,0.99,1272.51,1344.65,0.99,1544.74,1441.01,0.99,1243.81,1447.64,0.99,1430.02,1403.98,1.0,1326.8,1405.28,1.0,1558.19,1494.06,0.99,1235.82,1501.26,0.99,1375.02,1481.8,0.94,1373.36,1480.6,0.94
2,0.067,1393.71,1130.18,0.99,1412.25,1110.69,0.99,1373.25,1111.04,0.99,1433.91,1115.33,0.87,1346.92,1117.68,0.95,1466.31,1210.83,1.0,1314.04,1213.74,1.0,1501.22,1345.48,0.99,1272.08,1344.13,0.99,1544.67,1441.14,0.99,1243.43,1447.18,0.99,1430.54,1406.36,1.0,1327.36,1407.24,1.0,1559.74,1494.64,0.99,1235.98,1499.33,0.99,1373.9,1480.63,0.94,1370.89,1479.21,0.94
3,0.1,1393.87,1130.05,0.99,1412.31,1110.68,0.99,1373.41,1111.05,0.99,1433.92,1115.3,0.87,1347.05,1117.68,0.95,1466.54,1211.23,1.0,1313.89,1213.8,1.0,1501.31,1344.79,0.99,1272.01,1344.12,0.99,1544.81,1441.39,0.99,1243.88,1447.91,0.99,1429.97,1406.81,1.0,1326.77,1407.41,1.0,1556.77,1495.32,0.99,1238.42,1498.46,0.99,1373.02,1478.83,0.94,1368.53,1478.0,0.94
4,0.133,1393.32,1129.57,0.99,1411.97,1110.25,0.99,1372.96,1110.55,0.99,1433.99,1114.95,0.88,1347.08,1117.26,0.94,1466.75,1210.91,1.0,1313.79,1213.88,1.0,1501.31,1345.53,0.99,1272.36,1346.31,0.99,1544.75,1440.75,0.99,1242.94,1447.72,0.99,1430.4,1407.08,1.0,1326.93,1407.74,1.0,1558.92,1495.35,0.99,1234.34,1498.02,0.99,1371.03,1480.01,0.94,1372.19,1480.28,0.94
5,0.167,1393.39,1129.46,0.99,1411.97,1110.0,0.99,1373.04,1110.37,0.99,1433.8,1114.76,0.88,1347.4,1117.19,0.94,1466.77,1210.59,1.0,1314.04,1213.15,1.0,1500.91,1344.84,0.99,1272.81,1343.69,0.99,1544.58,1440.74,0.99,1244.29,1446.4,0.99,1430.34,1404.36,1.0,1327.04,1404.96,1.0,1555.97,1496.7,0.99,1235.52,1500.38,0.99,1373.09,1480.55,0.94,1375.47,1480.12,0.94
6,0.2,1393.39,1129.57,0.99,1411.99,1110.31,0.99,1373.04,1110.62,0.99,1433.94,1115.02,0.88,1346.99,1117.19,0.94,1466.28,1210.93,1.0,1314.16,1212.6,1.0,1500.81,1344.8,0.99,1272.89,1343.05,0.99,1544.7,1440.59,0.99,1244.17,1446.18,0.99,1429.91,1406.11,1.0,1326.98,1406.12,1.0,1558.07,1494.18,0.99,1238.41,1495.07,0.99,1372.61,1479.43,0.94,1367.8,1477.69,0.94
7,0.233,1393.75,1129.48,0.99,1412.32,1110.27,0.99,1373.37,1110.5,0.99,1434.1,1115.06,0.87,1346.9,1117.09,0.94,1466.3,1211.19,1.0,1313.78,1213.34,1.0,1501.04,1344.4,0.99,1273.26,1344.11,0.99,1544.67,1441.1,0.99,1244.15,1446.67,0.99,1430.43,1405.91,1.0,1327.23,1406.21,1.0,1558.26,1493.77,0.99,1237.26,1494.86,0.99,1372.5,1479.48,0.94,1367.95,1479.87,0.94
8,0.267,1393.67,1130.07,0.99,1412.17,1110.51,0.99,1372.99,1111.19,0.99,1434.38,1114.87,0.88,1347.02,1117.91,0.94,1467.25,1211.27,1.0,1314.8,1213.46,1.0,1501.53,1345.22,0.99,1273.31,1343.35,0.99,1544.65,1441.61,0.99,1244.26,1446.83,0.99,1430.36,1406.39,1.0,1326.9,1406.62,1.0,1557.95,1494.34,0.99,1240.16,1495.5,0.99,1375.47,1478.27,0.94,1359.11,1477.93,0.93
9,0.3,1393.78,1129.93,0.99,1412.19,1110.46,0.99,1373.27,1110.99,0.99,1433.86,1114.91,0.88,1347.05,1117.63,0.94,1466.17,1210.58,1.0,1314.26,1213.18,1.0,1501.06,1345.18,0.99,1272.86,1345.53,0.99,1544.78,1440.84,0.99,1244.89,1446.93,0.99,1429.82,1405.05,1.0,1326.7,1405.48,1.0,1558.55,1494.66,0.99,1236.34,1496.02,0.99,1372.54,1478.98,0.94,1363.43,1479.21,0.94
10,0.333,1393.68,1130.12,0.99,1412.22,1110.66,0.99,1373.12,1111.09,0.99,1434.02,1115.25,0.88,1346.82,1117.83,0.94,1466.72,1211.28,1.0,1314.09,1213.78,1.0,1501.4,1345.66,0.99,1273.44,1344.77,0.99,1545.16,1440.47,0.99,1244.41,1447.58,0.99,1430.27,1406.21,1.0,1326.98,1406.69,1.0,1557.82,1494.92,0.99,1236.17,1497.37,0.99,1373.05,1479.92,0.95,1369.98,1479.84,0.95
11,0.367,1393.63,1130.1,0.99,1412.08,1110.61,0.99,1373.14,1111.14,0.99,1433.93,1114.97,0.88,1347.11,1117.75,0.94,1466.75,1211.01,1.0,1314.45,1213.66,1.0,1501.42,1345.79,0.99,1273.43,1345.0,0.99,1545.36,1441.58,0.99,1244.6,1447.22,0.99,1429.99,1406.29,1.0,1326.84,1406.82,1.0,1557.51,1494.81,0.99,1237.24,1497.24,0.99,1373.87,1479.72,0.94,1367.77,1479.5,0.94
12,0.4,1394.52,1130.76,0.99,1412.74,1111.26,0.99,1374.05,1111.54,0.99,1433.45,1115.88,0.86,1347.03,1118.15,0.95,1466.46,1210.83,1.0,1313.58,1214.81,1.0,1501.21,1345.41,0.99,1272.68,1346.15,0.99,1544.8,1440.79,0.99,1243.65,1447.87,0.99,1430.38,1404.96,1.0,1327.31,1406.56,1.0,1555.59,1495.29,0.99,1238.12,1503.26,0.99,1373.24,1480.42,0.94,1379.56,1479.72,0.94
13,0.433,1394.55,1130.32,0.99,1412.64,1110.96,0.99,1374.03,1111.4,0.99,1433.67,1115.16,0.86,1346.84,1117.75,0.95,1466.73,1210.43,1.0,1313.79,1214.05,1.0,1500.64,1345.38,0.99,1272.28,1346.79,0.99,1544.27,1440.16,0.99,1243.96,1447.67,0.99,1430.5,1405.86,1.0,1326.82,1406.98,1.0,1560.01,1494.51,0.99,1238.71,1499.0,0.99,1372.17,1480.64,0.94,1365.14,1480.58,0.94
14,0.467,1394.16,1130.29,0.99,1412.42,1111.15,0.99,1373.94,1111.39,0.99,1433.81,1115.39,0.86,1347.34,1117.52,0.95,1466.54,1210.92,1.0,1313.93,1214.54,1.0,1500.53,1345.73,0.99,1272.37,1347.52,0.99,1545.01,1440.52,0.99,1243.33,1446.92,0.99,1431.07,1407.44,1.0,1328.12,1408.67,1.0,1558.45,1493.57,0.99,1240.13,1498.02,0.99,1371.51,1480.42,0.94,1371.61,1481.36,0.94
15,0.5,1394.02,1130.96,0.99,1412.43,1111.78,0.99,1373.82,1111.96,0.99,1433.76,1115.63,0.86,1346.91,1117.62,0.95,1465.62,1210.54,1.0,1313.88,1214.19,1.0,1500.79,1345.44,0.99,1271.86,1346.69,0.99,1545.1,1441.11,0.99,1243.13,1448.17,0.99,1429.05,1406.1,1.0,1326.67,1407.38,1.0,1558.58,1492.09,0.99,1236.01,1498.48,0.99,1371.02,1483.54,0.95,1378.56,1483.21,0.95
