Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf
0,0.0,1367.19,855.14,0.99,1384.9,838.39,0.99,1350.63,839.03,0.99,1410.02,848.02,0.9,1329.39,850.24,0.84,1443.53,937.34,1.0,1302.88,949.14,1.0,1470.64,1076.47,0.99,1271.45,1090.32,0.99,1411.25,1161.85,0.99,1333.82,1181.39,0.99,1422.58,1139.2,1.0,1322.72,1146.9,1.0,1532.18,1184.8,0.98,1233.16,1213.12,0.98,1362.08,1213.84,0.93,1393.14,1227.44,0.93
1,0.033,1366.31,855.39,0.99,1384.22,838.59,0.99,1350.04,839.03,0.99,1409.61,847.84,0.91,1329.09,849.53,0.82,1442.49,937.76,1.0,1302.78,949.07,1.0,1469.77,1077.24,1.0,1273.22,1091.4,0.99,1411.1,1162.28,0.99,1334.96,1181.74,0.99,1421.81,1138.38,1.0,1322.83,1145.69,1.0,1531.84,1185.46,0.98,1233.05,1212.61,0.98,1354.11,1215.42,0.94,1394.04,1228.08,0.94
2,0.067,1366.12,856.23,0.99,1384.07,839.39,0.99,1349.86,839.89,0.98,1409.74,848.19,0.92,1329.0,850.09,0.81,1442.52,938.17,1.0,1303.07,949.18,1.0,1468.45,1076.43,1.0,1274.91,1090.86,0.99,1410.93,1161.77,0.99,1334.16,1180.51,0.99,1421.66,1140.25,1.0,1323.16,1147.31,1.0,1532.29,1186.74,0.99,1234.44,1211.73,0.99,1352.64,1216.38,0.95,1400.62,1230.2,0.95
3,0.1,1366.11,856.88,0.99,1384.48,839.95,0.99,1349.78,840.3,0.98,1410.74,848.7,0.92,1328.83,850.14,0.81,1442.7,938.8,1.0,1302.56,949.11,1.0,1468.21,1078.39,1.0,1275.27,1091.12,0.99,1409.24,1163.18,0.99,1334.98,1181.12,0.99,1421.5,1139.66,1.0,1322.29,1146.49,1.0,1532.27,1186.03,0.99,1234.4,1211.07,0.98,1354.65,1216.54,0.94,1396.28,1229.22,0.94
4,0.133,1365.53,857.15,0.99,1384.27,840.32,0.99,1349.39,840.28,0.98,1410.97,849.28,0.93,1328.82,849.82,0.8,1442.13,938.61,1.0,1303.02,948.26,1.0,1468.06,1077.71,1.0,1275.89,1090.28,0.99,1409.02,1163.42,0.99,1335.93,1180.96,0.99,1421.32,1138.85,1.0,1322.65,1145.31,1.0,1531.82,1186.36,0.98,1232.56,1210.97,0.98,1353.79,1215.39,0.94,1396.54,1228.52,0.94
5,0.167,1365.56,857.73,0.99,1384.33,840.88,0.99,1349.48,840.91,0.98,1411.41,849.6,0.93,1329.29,850.3,0.78,1442.54,939.14,1.0,1303.6,948.8,1.0,1468.74,1077.7,1.0,1275.97,1090.47,0.99,1409.6,1162.12,0.99,1335.87,1181.84,0.99,1421.47,1138.85,1.0,1322.93,1145.34,1.0,1532.23,1186.39,0.98,1233.67,1210.82,0.98,1353.67,1214.28,0.94,1394.6,1228.76,0.94
6,0.2,1365.68,858.23,0.99,1384.5,841.49,0.99,1349.78,841.22,0.98,1411.08,850.08,0.93,1329.23,850.02,0.79,1441.78,938.71,1.0,1302.86,948.3,1.0,1468.94,1076.15,1.0,1275.17,1089.34,0.99,1410.12,1162.16,0.99,1335.14,1181.25,0.99,1420.81,1139.04,1.0,1322.16,1145.58,1.0,1531.67,1186.37,0.98,1231.45,1211.93,0.98,1354.13,1214.44,0.94,1393.88,1228.07,0.94
7,0.233,1366.18,858.06,0.99,1385.22,841.38,0.99,1350.15,841.06,0.98,1412.05,850.28,0.93,1329.49,850.09,0.8,1442.29,939.18,1.0,1302.64,948.8,1.0,1469.29,1076.24,1.0,1275.98,1089.85,0.99,1411.11,1160.97,0.99,1335.4,1181.2,0.99,1421.75,1139.08,1.0,1322.99,1145.72,1.0,1531.42,1186.08,0.99,1232.35,1211.44,0.98,1351.82,1215.44,0.95,1398.44,1229.71,0.94
8,0.267,1366.1,858.09,0.99,1384.9,841.39,0.99,1350.11,841.11,0.98,1411.22,850.04,0.92,1329.26,849.95,0.8,1442.0,938.53,1.0,1302.53,947.84,1.0,1469.49,1076.66,1.0,1275.25,1089.14,0.99,1410.97,1161.88,0.99,1334.35,1179.88,0.99,1422.09,1139.14,1.0,1323.29,1145.56,1.0,1532.25,1186.43,0.98,1232.22,1211.09,0.98,1353.18,1215.01,0.94,1393.3,1228.53,0.94
9,0.3,1366.46,857.39,0.99,1385.2,840.69,0.99,1350.36,840.46,0.98,1411.39,849.74,0.92,1329.44,849.81,0.81,1442.16,938.5,1.0,1302.66,948.53,1.0,1469.6,1076.49,1.0,1275.6,1090.0,0.99,1410.58,1161.54,0.99,1334.89,1180.4,0.99,1421.57,1139.36,1.0,1322.94,1146.26,1.0,1531.92,1186.31,0.98,1234.94,1212.92,0.98,1352.73,1215.33,0.94,1397.27,1228.96,0.94
