Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf
0,0.0,1447.32,859.88,0.99,1465.95,842.72,0.99,1428.7,843.23,0.99,1490.09,851.06,0.93,1405.8,854.16,0.94,1520.56,944.85,1.0,1381.02,958.81,1.0,1534.4,1095.44,1.0,1365.86,1095.41,1.0,1470.89,1189.63,1.0,1420.76,1192.03,1.0,1496.5,1147.0,1.0,1400.98,1154.51,1.0,1622.02,1181.17,0.99,1294.88,1221.0,0.99,1423.57,1240.88,0.96,1498.25,1226.49,0.96
1,0.033,1448.62,857.72,0.99,1466.48,839.84,0.99,1430.34,839.56,0.99,1491.04,849.23,0.9,1408.02,851.62,0.9,1525.77,942.01,1.0,1377.96,954.92,1.0,1538.56,1092.04,0.99,1367.18,1093.89,0.99,1469.47,1190.96,0.99,1421.96,1194.74,0.99,1500.38,1146.9,1.0,1397.56,1153.71,1.0,1591.13,1195.09,0.98,1312.33,1229.22,0.99,1460.3,1222.19,0.94,1472.9,1233.16,0.94
2,0.067,1448.5,857.23,0.99,1466.36,839.33,0.99,1430.26,839.16,0.99,1491.33,849.11,0.9,1408.4,851.7,0.89,1525.87,941.88,1.0,1378.43,955.13,1.0,1538.55,1091.59,0.99,1366.71,1094.19,0.99,1469.67,1190.75,0.99,1422.82,1195.39,0.99,1500.1,1146.57,1.0,1397.32,1153.59,1.0,1592.49,1194.36,0.98,1313.08,1229.45,0.98,1459.89,1221.81,0.93,1468.81,1232.92,0.94
3,0.1,1448.07,858.13,0.99,1466.09,840.15,0.99,1429.86,839.91,0.99,1491.24,849.41,0.9,1407.99,851.83,0.89,1525.79,942.32,1.0,1378.61,955.16,1.0,1538.23,1092.18,0.99,1367.43,1093.74,0.99,1469.06,1191.31,0.99,1423.5,1195.32,0.99,1499.84,1147.69,1.0,1397.38,1154.36,1.0,1588.73,1195.01,0.98,1313.08,1229.69,0.98,1459.66,1221.6,0.93,1469.04,1231.43,0.94
4,0.133,1448.01,858.64,0.99,1466.25,840.62,0.99,1429.99,840.35,0.99,1492.17,849.61,0.91,1408.6,851.92,0.88,1525.93,941.93,1.0,1378.93,954.63,1.0,1538.04,1091.33,0.99,1367.64,1092.84,0.99,1469.43,1191.1,0.99,1422.56,1195.08,0.99,1499.62,1147.09,1.0,1397.27,1153.8,1.0,1589.62,1193.52,0.98,1312.72,1228.31,0.99,1459.84,1221.62,0.93,1470.7,1231.92,0.94
5,0.167,1448.1,857.73,0.99,1465.93,839.75,0.99,1429.93,839.61,0.99,1490.99,848.92,0.9,1408.25,851.69,0.89,1525.53,942.21,1.0,1378.78,955.4,1.0,1538.26,1091.89,0.99,1368.09,1094.8,0.99,1469.8,1190.75,0.99,1422.67,1195.63,0.99,1499.32,1147.03,1.0,1397.21,1153.73,1.0,1589.41,1194.93,0.98,1311.47,1228.39,0.99,1457.81,1222.36,0.94,1472.27,1233.0,0.94
6,0.2,1448.85,857.34,0.99,1466.43,839.27,0.99,1430.53,839.57,0.99,1491.41,848.47,0.9,1408.75,852.18,0.89,1526.31,942.17,1.0,1379.19,955.25,1.0,1538.4,1092.44,0.99,1367.88,1093.3,0.99,1469.81,1191.54,0.99,1422.49,1195.09,0.99,1499.18,1147.67,1.0,1396.93,1154.43,1.0,1589.0,1193.95,0.98,1313.17,1228.15,0.98,1458.1,1221.92,0.93,1473.65,1232.34,0.94
7,0.233,1448.74,857.19,0.99,1466.36,839.25,0.99,1430.38,839.37,0.99,1491.1,848.45,0.9,1408.35,851.79,0.9,1526.31,941.54,1.0,1378.98,954.6,1.0,1538.34,1091.34,0.99,1367.49,1092.43,0.99,1469.92,1191.11,0.99,1422.33,1194.88,0.99,1499.83,1147.39,1.0,1397.54,1154.07,1.0,1588.8,1195.29,0.98,1312.36,1229.17,0.98,1456.42,1222.6,0.93,1473.35,1233.02,0.94
8,0.267,1448.87,857.64,0.99,1466.59,839.59,0.99,1430.61,839.76,0.99,1491.66,848.64,0.9,1408.85,852.03,0.89,1526.85,941.75,1.0,1379.37,954.69,1.0,1538.85,1092.07,0.99,1368.06,1092.17,0.99,1469.27,1191.69,0.98,1422.99,1195.25,0.99,1500.3,1147.31,1.0,1397.71,1154.01,1.0,1587.97,1194.9,0.98,1312.81,1229.63,0.98,1459.29,1221.73,0.93,1472.75,1231.42,0.94
9,0.3,1449.04,857.52,0.99,1466.83,839.47,0.99,1430.76,839.67,0.99,1492.17,848.67,0.91,1409.16,852.12,0.89,1527.02,941.72,1.0,1379.84,954.89,1.0,1539.08,1091.77,0.99,1368.05,1092.59,0.99,1469.68,1191.29,0.99,1422.63,1195.41,0.99,1499.97,1146.77,1.0,1397.48,1153.57,1.0,1588.69,1194.21,0.98,1313.04,1229.4,0.98,1459.71,1221.47,0.93,1471.27,1231.46,0.94
