img_name,Head_x,Head_y,LShoulder_x,LShoulder_y,RShoulder_x,RShoulder_y,LElbow_x,LElbow_y,RElbow_x,RElbow_y,LWrist_x,LWrist_y,RWrist_x,RWrist_y,LHip_x,LHip_y,RHip_x,RHip_y,LKnee_x,LKnee_y,Rknee_x,Rknee_y,LAnkle_x,LAnkle_y,RAnkle_x,RAnkle_y,Neck_x,Neck_y,Hip_x,Hip_y
000000.jpg,1269.1270011198028,1145.6021757558497,1362.1395799543525,1224.862580168308,1192.0885261579372,1225.9111337299357,1372.6555867137072,1375.6092232732374,1189.491820240114,1379.291692108665,1331.299525307118,1485.422920052552,1242.101418315759,1484.7908935307428,1346.6642080318927,1434.289751731822,1223.697654884052,1442.3785221361657,1444.3554898643154,1492.758564789618,1117.0953462768591,1493.4618122854067,1271.223177386218,1516.6484572166016,1288.9897972234028,1534.3834273378247,1276.5834063440666,1178.59421860693,1284.5358996358239,1429.714221472791
000001.jpg,1269.6846896522002,1147.1013968852062,1361.9993026349975,1222.3176321869846,1191.4673172629978,1225.8890347763243,1373.3706974597358,1377.4505154892254,1187.4800109199987,1374.692769670306,1333.1101777918489,1483.658618340217,1243.1867018030753,1482.6321257290952,1344.0353535763463,1437.937435518095,1228.9616712631946,1443.6167068852828,1444.772278979056,1492.032098263716,1117.0666694965762,1491.1656718115498,1260.2272410588778,1515.6806805547005,1292.980639398011,1538.6332318154916,1275.3311441456053,1178.1098576881488,1287.4039853943411,1430.7796400765196
000002.jpg,1270.011432826716,1147.1017928099725,1362.5980538607364,1222.0454748173433,1191.646484427046,1227.1459886933574,1371.697164264864,1377.4362599301694,1190.6167103426906,1379.7947617552634,1332.0018647474112,1483.3178217059963,1241.2073558569011,1481.3443325469168,1345.054713237191,1445.2078547400822,1221.8331823533929,1446.8555183778578,1444.5381995310524,1493.5397391316721,1117.1701214823336,1492.6126119067264,1274.0309643219944,1518.9194711863938,1291.260814678734,1538.6901263055204,1276.3208819874305,1179.6743603111215,1288.0571325677681,1432.4893945881163
000003.jpg,1270.0457459443257,1147.062979432498,1362.085832567177,1221.7148070437293,1192.218835781955,1226.8291938773002,1372.4152736706455,1376.5137029385255,1188.281365105411,1377.1487975403033,1333.2117404381556,1483.3830111690518,1241.9507500052503,1482.3588971874367,1361.0502033565515,1448.965105742765,1223.646461690442,1446.4070217948627,1444.8517558321537,1491.9215898352793,1117.6517619946833,1493.22519450366,1274.17924172022,1522.4023970297314,1291.1642053837168,1536.5560118692963,1276.1509964751658,1179.8026977858026,1284.8944608890615,1431.6573921166616
000004.jpg,1269.4459429767164,1148.589575518591,1361.3124026575838,1223.0499490912152,1193.1725198222862,1224.603315030305,1373.6577706955595,1375.0073720194237,1189.4293023850587,1377.0491575227354,1332.3469656993702,1483.689281302213,1240.510520785801,1484.189957583666,1343.7673768123595,1441.2869301859475,1227.696663288167,1446.8613905193874,1444.6776745732006,1492.592848230494,1117.7632622327726,1491.6893124024634,1268.9489716649377,1518.2939343270345,1291.4998828505366,1530.8320507868373,1275.9183667146485,1179.0015616044448,1287.1155899686858,1431.4828462319877
000005.jpg,1270.2876871739213,1146.5386882919358,1362.0499436426276,1222.2732888928683,1193.2808405526039,1225.8238355352644,1372.275889745443,1376.6210764679872,1189.7490432259492,1378.1387438895285,1331.2672579751504,1484.619138732273,1241.3317570061586,1482.4363165490936,1344.3173125939973,1441.8780985597448,1227.0581816698884,1445.4291900048445,1444.0206639027926,1492.8386736061814,1115.4761926940903,1492.1666861593972,1272.9728799457885,1521.7837702078782,1288.231707199984,1531.1713042714039,1276.8337284641511,1180.035558271603,1286.3624852861954,1430.7313932171874
000006.jpg,1269.488526740503,1146.7561737581489,1362.2346363768618,1221.8106612320512,1193.4743762061357,1226.127534654062,1373.832379313434,1376.071328302421,1189.044955157786,1376.8939022628795,1333.5729403102023,1481.4168203022964,1243.8541118427397,1484.0279726031577,1351.206764500114,1441.7355069674759,1199.3278617472997,1448.7489039740383,1445.2627295929788,1491.7036626661497,1116.0253483371976,1492.3239448409604,1253.0623218449657,1504.7977194708901,1291.6586361231596,1531.656157214069,1276.1587385002597,1179.5698433821317,1286.8162314302062,1428.7982244896268
000007.jpg,1269.3648878032657,1145.888210426602,1360.9464031743844,1222.7236213164758,1191.9372511869706,1225.1726242774762,1373.6990190904462,1376.6631311620608,1190.8317725087306,1378.5615807748889,1332.6086588313358,1483.880217399618,1242.5361257106033,1484.2592485173152,1349.119602816225,1442.1752132868935,1224.400230068643,1443.6837605770816,1443.8858284853252,1492.8614398968302,1115.6257151096277,1491.526004760487,1269.710869738858,1519.1406588492796,1289.0886050547024,1532.1068915501576,1275.8157164757058,1179.0285101852617,1286.5221289672115,1430.5865571914646
000008.jpg,1269.6276613467664,1147.7404811737526,1360.3499409612095,1222.4542028665646,1192.2528090350029,1227.2386296917884,1374.7261245071732,1373.8735272425993,1187.6939407596342,1378.491064733467,1329.5545522252849,1482.8602690830269,1243.8320423760306,1482.1562117181952,1343.4977041264428,1432.1980244545098,1242.589528539164,1438.3174656100402,1443.755542899101,1492.2215533645222,1115.7863534740547,1491.7628530272957,1270.6038917730432,1516.1401540221473,1298.6591490207877,1541.7949208901339,1273.7898865741552,1179.99529923366,1286.0661318826963,1430.8285978661133
000009.jpg,1271.5476024762215,1147.3000135073978,1362.4166437210179,1223.143738209348,1191.4476067079388,1226.9654833779753,1373.0891316371078,1376.3730759618732,1189.5311691029308,1377.9325549321618,1331.329343449918,1481.7009766488875,1242.2493260097604,1483.3258147179204,1357.2970264772264,1445.3905978508192,1227.0353789312276,1446.9300797632798,1445.6561478736214,1492.9565193173555,1117.0065043159093,1491.2782842109314,1270.1264682476806,1514.8821568924134,1299.8299791398526,1541.6664669186084,1275.268428757192,1179.2649559417814,1286.5899751652641,1431.962304284528
