img_name,Head_x,Head_y,LShoulder_x,LShoulder_y,RShoulder_x,RShoulder_y,LElbow_x,LElbow_y,RElbow_x,RElbow_y,LWrist_x,LWrist_y,RWrist_x,RWrist_y,LHip_x,LHip_y,RHip_x,RHip_y,LKnee_x,LKnee_y,Rknee_x,Rknee_y,LAnkle_x,LAnkle_y,RAnkle_x,RAnkle_y,Neck_x,Neck_y,Hip_x,Hip_y
000000.jpg,1315.5613136150293,865.1449595023223,1406.3713839119434,933.9907181575045,1230.1990493256046,940.9387159040529,1444.8078808986893,1080.2561879420732,1204.2815890641002,1082.065722636376,1443.3135977067784,1179.7678326896769,1221.9306480810385,1172.8460053730446,1387.438227604192,1153.4352837105957,1263.1393158419191,1157.603840536686,1499.1283895319734,1217.7421918443886,1145.9499994954322,1203.1787261027318,1316.5601510200518,1229.9868663407647,1336.8724078420446,1211.8002606416746,1319.6716151259657,894.2467214806262,1326.2092970627587,1145.7412270550872
000001.jpg,1315.8242623734754,865.3298675544147,1407.563564795559,934.333563101574,1231.9781721787779,937.2637303024226,1444.135149978078,1081.6216786307368,1206.049673274657,1083.8454839679996,1441.8531907847973,1180.325761631276,1220.4421885140384,1171.3257720453132,1381.7047741935535,1153.4173784987684,1260.8986771587793,1160.8464169985689,1498.4547065184936,1217.3923891637091,1145.3455454640432,1204.075879455542,1312.563174989816,1230.050956780098,1337.8605412370896,1210.043361514338,1320.2267537580349,894.1805875557328,1325.1826471079112,1144.972738570839
000002.jpg,1314.5815872239482,865.8386294136893,1409.3658776740322,936.9193729995399,1230.6586470053319,940.9791114062842,1445.6914414154523,1080.7265731743985,1203.265070667603,1082.4276210624605,1444.6400873651858,1181.8608788202685,1222.5352320462723,1172.9331758183957,1387.5428961218447,1152.6989555022328,1259.6147803132199,1160.8581328340558,1497.0183592671183,1220.6457146720338,1145.6295702762288,1202.5272695071426,1315.6810792280487,1231.7825823639205,1341.4300711470619,1211.6116947480984,1318.6801310449625,894.7381889351636,1325.2897081939445,1145.6248901165773
000003.jpg,1315.3948553336036,866.7824964469397,1405.823794673716,933.9813664898746,1231.0672665421102,938.3544101661823,1442.9491865770387,1080.7370207307606,1203.6021702394291,1083.4019134319524,1441.3820691919773,1180.1860727076992,1217.6274620974,1174.1100779032238,1386.9618851377113,1156.3596482881655,1263.6364524542705,1159.601819375993,1499.7702329203664,1216.8988054138108,1145.0456123543115,1200.9038724985892,1316.1933353690354,1232.615086686981,1341.547315478641,1213.7341674338936,1319.23411828046,893.8412343699307,1325.6527507960818,1146.8479951205966
000004.jpg,1314.6367183749976,867.2783363501543,1406.8916109152117,934.9062434690987,1230.6543464790961,938.9511943656538,1443.6240256154488,1081.2228814742095,1204.5272403054853,1083.7052447923186,1441.0677162410602,1180.4039577083893,1221.7395726838974,1172.6650931473555,1387.9203316735095,1156.443771803744,1260.7789273380263,1160.2177271148141,1499.2789150509482,1217.2190955537797,1144.4192512280672,1202.2783928989797,1321.033381170007,1232.7150649450414,1336.0766973361267,1211.5729642561103,1319.160909530876,894.5607468511378,1326.3607535874128,1144.6969581379358
000005.jpg,1314.992630072991,867.8139682469757,1405.9906229115345,935.234754099771,1230.3788621872795,939.8030146871795,1445.5576373206084,1081.1755403035427,1205.6389309723938,1083.9133588046282,1442.7447971141216,1179.3511778193708,1220.263172975724,1174.2083273882947,1387.7553911210246,1155.8367387344051,1259.6208717030643,1159.3656868563992,1498.1092104938612,1217.2373949068542,1145.449113115415,1204.5705298482035,1315.6777654288771,1227.5699038091375,1335.6057294959971,1209.547439859681,1318.9019112429621,893.5881496703943,1326.2436015643461,1145.1419507187181
000006.jpg,1315.2368094655235,867.077287271457,1405.2669856277814,933.4018854171393,1232.6257648033702,939.7416865312986,1443.400189752479,1081.97751143626,1202.9162247978138,1082.6051594096803,1443.8550829014514,1181.1595513615798,1221.9949647582564,1174.8025689494175,1386.123108035487,1153.3667079464649,1261.665495807914,1160.316807852957,1499.011955718635,1216.8108055656762,1144.0352176968574,1202.168650224149,1314.3516922539848,1230.4101229867633,1339.3796398148588,1210.692541854895,1320.6263192740587,895.1502734032035,1326.3577464349014,1146.0781022794988
000007.jpg,1316.019268757643,865.5722821553454,1405.4890204782787,935.5540303238064,1231.4260865911076,940.5695673259056,1444.8366285919726,1081.253835268481,1205.1111066649185,1083.5980103564143,1443.3059270052686,1181.3254606662952,1221.1182015872555,1173.538790050056,1382.57660101381,1158.464257546041,1263.1393287143985,1158.5726999053177,1498.1365030540717,1215.6090721920218,1146.5864739397407,1203.4768414131552,1312.9568852642462,1231.80367601951,1338.2589237538841,1211.699543131988,1319.8997287482646,895.3879903972115,1326.4008399100114,1144.9875074055062
000008.jpg,1315.5474515811825,866.5616444664465,1408.303085633157,936.3761577869545,1230.2502986734512,938.9676050676476,1444.6063938809405,1080.7381864877566,1206.0983805536391,1084.5187681214386,1442.4087053293072,1180.5635319282703,1219.795043959126,1172.8814200421284,1388.237295153179,1155.631409712919,1261.601150753094,1164.7036729900435,1500.9161451363711,1212.7803870481912,1146.0705421087473,1202.3756725747407,1315.5191521162276,1228.1656795536223,1340.678184573991,1212.8387483883118,1319.022792724541,894.8324433331849,1325.8118117448917,1147.1413325283588
000009.jpg,1315.5866051464932,866.6729735528792,1406.9273866052708,934.6873867642317,1231.159287709078,940.4481557349038,1444.3894457725758,1081.1008532842511,1206.5861822587556,1084.4113060813252,1443.0456746680852,1181.11275150258,1221.2848500577118,1173.0124111889745,1384.0821911082485,1156.4052380844657,1260.766936202242,1161.669966871662,1497.5288031169305,1217.373028231508,1145.1325628324882,1203.9641944963432,1311.8797114570882,1232.0159642895796,1337.2348393447267,1209.953785064311,1319.2398365962788,894.1090638752404,1325.3163613965432,1145.8502325302002
000010.jpg,1316.937708698163,867.4310066299388,1405.160833312802,935.3724239191757,1230.8961499557295,938.9069766302154,1445.0253398369373,1080.7838157834915,1206.7039162644912,1083.6054672331863,1441.7257226668619,1179.6768149147547,1220.4167107395747,1174.1635704024407,1388.5150484708556,1154.8341823550154,1258.687866838948,1158.940069065782,1497.6773490171552,1217.4584761648582,1145.0735507539657,1203.1997480268287,1312.629882876467,1232.0520013313928,1343.2277420161165,1210.0919522902166,1318.6423404677369,893.7642306690598,1325.944229845446,1144.980785196017
000011.jpg,1315.2082354829859,867.9181471318584,1405.695947036051,934.8555466839239,1231.9325910409461,939.4604258990141,1442.643954806041,1080.7746048441604,1206.0312845929805,1084.0095265079958,1442.0263926003845,1180.0545572833198,1221.1169334297263,1173.5566111287767,1387.979522118888,1155.303118582542,1263.9588233322052,1157.9760966234749,1497.7146439786195,1217.7160969282136,1145.5565254015085,1204.1501065746954,1316.005122598667,1230.8845296235795,1336.2791976828319,1209.7431962849616,1319.2564538779593,894.4254297265242,1327.6392463304605,1145.3638186412622
000012.jpg,1314.5889242326805,867.1756932395426,1406.0020488958266,935.7015491177089,1231.9276915181981,939.7527397373424,1444.7285033581682,1081.6635568778593,1203.430984062914,1083.5166129347278,1443.9017102606686,1179.407074758037,1221.0741973721645,1174.1618594100273,1386.8162654343644,1154.7693420596322,1260.2619596145678,1161.0779406354725,1502.33882708885,1213.577664901563,1145.2576870353405,1203.89925069829,1314.2540337361563,1230.1022242581205,1339.642485493722,1209.8870544653535,1319.7167888928534,895.4156605160218,1326.17179318751,1145.0534195171201
